"cell_id","pattern","mech","N","n_ok","n_err","pi_oracle","pi_uncorrected","pi_corrected","pi_SB","cell_class"
"fiml_non_monotone_MAR_N200","non_monotone","MAR",200,2000,0,0.9065,0.6505,0.7975,0.809,"w3_main"
"amelia_non_monotone_MAR_N200_M20_cong","non_monotone","MAR",200,2000,0,0.9065,0.651,0.795,0.8055,"w3_main"
"amelia_non_monotone_MAR_N200_M20_uncong","non_monotone","MAR",200,2000,0,0.9065,0.9315,0.979,0.983,"w3_main"
"amelia_non_monotone_MAR_N200_M200_cong","non_monotone","MAR",200,2000,0,0.9065,0.6485,0.796,0.809,"w3_main"
"amelia_non_monotone_MAR_N200_M200_uncong","non_monotone","MAR",200,2000,0,0.9065,0.9355,0.982,0.9845,"w3_main"
"fiml_non_monotone_MAR_N500","non_monotone","MAR",500,2000,0,0.898,0.674,0.813,0.823,"w3_main"
"amelia_non_monotone_MAR_N500_M20_cong","non_monotone","MAR",500,2000,0,0.898,0.667,0.8095,0.817,"w3_main"
"amelia_non_monotone_MAR_N500_M20_uncong","non_monotone","MAR",500,2000,0,0.898,0.9285,0.9765,0.9795,"w3_main"
"amelia_non_monotone_MAR_N500_M200_cong","non_monotone","MAR",500,2000,0,0.898,0.6685,0.811,0.823,"w3_main"
"amelia_non_monotone_MAR_N500_M200_uncong","non_monotone","MAR",500,2000,0,0.898,0.9355,0.98,0.981,"w3_main"
"fiml_non_monotone_MAR_N1000","non_monotone","MAR",1000,2000,0,0.899,0.665,0.8075,0.8145,"w3_main"
"amelia_non_monotone_MAR_N1000_M20_cong","non_monotone","MAR",1000,2000,0,0.899,0.6705,0.803,0.8115,"w3_main"
"amelia_non_monotone_MAR_N1000_M20_uncong","non_monotone","MAR",1000,2000,0,0.899,0.9185,0.9705,0.9745,"w3_main"
"amelia_non_monotone_MAR_N1000_M200_cong","non_monotone","MAR",1000,2000,0,0.899,0.672,0.802,0.8135,"w3_main"
"amelia_non_monotone_MAR_N1000_M200_uncong","non_monotone","MAR",1000,2000,0,0.899,0.926,0.9775,0.9795,"w3_main"
"fiml_non_monotone_MNAR_N200","non_monotone","MNAR",200,2000,0,0.9065,0.614,0.764,0.778,"w3_main"
"amelia_non_monotone_MNAR_N200_M20_cong","non_monotone","MNAR",200,2000,0,0.9065,0.617,0.7635,0.7765,"w3_main"
"amelia_non_monotone_MNAR_N200_M20_uncong","non_monotone","MNAR",200,2000,0,0.9065,0.9265,0.9765,0.981,"w3_main"
"amelia_non_monotone_MNAR_N200_M200_cong","non_monotone","MNAR",200,2000,0,0.9065,0.617,0.764,0.7745,"w3_main"
"amelia_non_monotone_MNAR_N200_M200_uncong","non_monotone","MNAR",200,2000,0,0.9065,0.928,0.98,0.983,"w3_main"
"fiml_non_monotone_MNAR_N500","non_monotone","MNAR",500,2000,0,0.898,0.5715,0.7275,0.74,"w3_main"
"amelia_non_monotone_MNAR_N500_M20_cong","non_monotone","MNAR",500,2000,0,0.898,0.5775,0.728,0.738,"w3_main"
"amelia_non_monotone_MNAR_N500_M20_uncong","non_monotone","MNAR",500,2000,0,0.898,0.8965,0.966,0.9705,"w3_main"
"amelia_non_monotone_MNAR_N500_M200_cong","non_monotone","MNAR",500,2000,0,0.898,0.571,0.7275,0.7395,"w3_main"
"amelia_non_monotone_MNAR_N500_M200_uncong","non_monotone","MNAR",500,2000,0,0.898,0.9055,0.9725,0.979,"w3_main"
"fiml_non_monotone_MNAR_N1000","non_monotone","MNAR",1000,2000,0,0.899,0.516,0.6675,0.68,"w3_main"
"amelia_non_monotone_MNAR_N1000_M20_cong","non_monotone","MNAR",1000,2000,0,0.899,0.513,0.6585,0.674,"w3_main"
"amelia_non_monotone_MNAR_N1000_M20_uncong","non_monotone","MNAR",1000,2000,0,0.899,0.862,0.9435,0.95,"w3_main"
"amelia_non_monotone_MNAR_N1000_M200_cong","non_monotone","MNAR",1000,2000,0,0.899,0.5145,0.6645,0.682,"w3_main"
"amelia_non_monotone_MNAR_N1000_M200_uncong","non_monotone","MNAR",1000,2000,0,0.899,0.874,0.9495,0.9565,"w3_main"
"fiml_monotone_MAR_N200","monotone","MAR",200,2000,0,0.9065,0.7125,0.824,0.826,"w3_main"
"amelia_monotone_MAR_N200_M20_cong","monotone","MAR",200,2000,0,0.9065,0.719,0.814,0.8185,"w3_main"
"amelia_monotone_MAR_N200_M20_uncong","monotone","MAR",200,2000,0,0.9065,0.911,0.9565,0.9565,"w3_main"
"amelia_monotone_MAR_N200_M200_cong","monotone","MAR",200,2000,0,0.9065,0.717,0.821,0.8215,"w3_main"
"amelia_monotone_MAR_N200_M200_uncong","monotone","MAR",200,2000,0,0.9065,0.913,0.956,0.9565,"w3_main"
"fiml_monotone_MAR_N500","monotone","MAR",500,2000,0,0.898,0.7415,0.8305,0.833,"w3_main"
"amelia_monotone_MAR_N500_M20_cong","monotone","MAR",500,2000,0,0.898,0.7405,0.829,0.8305,"w3_main"
"amelia_monotone_MAR_N500_M20_uncong","monotone","MAR",500,2000,0,0.898,0.9015,0.9445,0.946,"w3_main"
"amelia_monotone_MAR_N500_M200_cong","monotone","MAR",500,2000,0,0.898,0.7365,0.8285,0.8305,"w3_main"
"amelia_monotone_MAR_N500_M200_uncong","monotone","MAR",500,2000,0,0.898,0.9035,0.9485,0.9495,"w3_main"
"fiml_monotone_MAR_N1000","monotone","MAR",1000,2000,0,0.899,0.725,0.813,0.8145,"w3_main"
"amelia_monotone_MAR_N1000_M20_cong","monotone","MAR",1000,2000,0,0.899,0.7165,0.8135,0.8165,"w3_main"
"amelia_monotone_MAR_N1000_M20_uncong","monotone","MAR",1000,2000,0,0.899,0.8965,0.9425,0.9445,"w3_main"
"amelia_monotone_MAR_N1000_M200_cong","monotone","MAR",1000,2000,0,0.899,0.7175,0.813,0.816,"w3_main"
"amelia_monotone_MAR_N1000_M200_uncong","monotone","MAR",1000,2000,0,0.899,0.8985,0.9485,0.9495,"w3_main"
"fiml_monotone_MNAR_N200","monotone","MNAR",200,2000,0,0.9065,0.695,0.7965,0.7995,"w3_main"
"amelia_monotone_MNAR_N200_M20_cong","monotone","MNAR",200,2000,0,0.9065,0.6885,0.793,0.7965,"w3_main"
"amelia_monotone_MNAR_N200_M20_uncong","monotone","MNAR",200,2000,0,0.9065,0.8775,0.9255,0.9265,"w3_main"
"amelia_monotone_MNAR_N200_M200_cong","monotone","MNAR",200,2000,0,0.9065,0.6935,0.7975,0.7995,"w3_main"
"amelia_monotone_MNAR_N200_M200_uncong","monotone","MNAR",200,2000,0,0.9065,0.8775,0.931,0.931,"w3_main"
"fiml_monotone_MNAR_N500","monotone","MNAR",500,2000,0,0.898,0.6555,0.7635,0.7675,"w3_main"
"amelia_monotone_MNAR_N500_M20_cong","monotone","MNAR",500,2000,0,0.898,0.6545,0.7625,0.7655,"w3_main"
"amelia_monotone_MNAR_N500_M20_uncong","monotone","MNAR",500,2000,0,0.898,0.8295,0.9005,0.904,"w3_main"
"amelia_monotone_MNAR_N500_M200_cong","monotone","MNAR",500,2000,0,0.898,0.6535,0.7615,0.7675,"w3_main"
"amelia_monotone_MNAR_N500_M200_uncong","monotone","MNAR",500,2000,0,0.898,0.8335,0.901,0.902,"w3_main"
"fiml_monotone_MNAR_N1000","monotone","MNAR",1000,2000,0,0.899,0.559,0.6575,0.661,"w3_main"
"amelia_monotone_MNAR_N1000_M20_cong","monotone","MNAR",1000,2000,0,0.899,0.564,0.6575,0.6595,"w3_main"
"amelia_monotone_MNAR_N1000_M20_uncong","monotone","MNAR",1000,2000,0,0.899,0.739,0.8295,0.8325,"w3_main"
"amelia_monotone_MNAR_N1000_M200_cong","monotone","MNAR",1000,2000,0,0.899,0.5595,0.656,0.659,"w3_main"
"amelia_monotone_MNAR_N1000_M200_uncong","monotone","MNAR",1000,2000,0,0.899,0.744,0.8325,0.835,"w3_main"
"amelia_non_monotone_MAR_N200_M200_cong_rate20","non_monotone","MAR",200,2000,0,0.9065,0.8185,0.861,0.8645,"w3_rate_h3b"
"amelia_non_monotone_MAR_N500_M200_cong_rate20","non_monotone","MAR",500,2000,0,0.898,0.8155,0.8615,0.8645,"w3_rate_h3b"
"amelia_non_monotone_MAR_N1000_M200_cong_rate20","non_monotone","MAR",1000,2000,0,0.899,0.8275,0.8745,0.876,"w3_rate_h3b"
