"pattern","N","n_ok","tr_exp","tr_samp","gap","gap_se","A","A_se","B","B_se","T","T_se"
"non_monotone",200,2000,7.72505137072871,8.59585728370894,0.870805912980228,0.0127599802585172,8.79405173042282,0.340332107528821,-4.72287016495666,0.0789301094697845,4.07118156546616,0.296810179388291
"non_monotone",309,2000,7.65720542878343,8.41237933919077,0.75517391040734,0.00995913008825677,7.59572541571233,0.38222238586651,-4.48105590955533,0.0663761293714134,3.114669506157,0.353516675077137
"non_monotone",477,2000,7.65020583437697,8.33319766390003,0.682991829523062,0.00770504681180867,8.27326339998976,0.46017332846768,-4.27240236710217,0.0591770269647181,4.00086103288759,0.441398081596817
"non_monotone",737,2000,7.67564569930971,8.30958598872471,0.633940289415001,0.00627740135344376,7.90623124535486,0.562207983457059,-4.20186212232837,0.0587072554406092,3.70436912302649,0.545964216575279
"non_monotone",1138,2000,7.64759705183188,8.25069340436809,0.603096352536209,0.00482632140237787,8.26886943559647,0.68176039162073,-4.10808206077764,0.0556356672146381,4.16078737481882,0.665456868450603
"non_monotone",1758,2000,7.6258764529023,8.20824072168542,0.582364268783128,0.00384780522460815,6.34591305653112,0.849458045006466,-4.07879316176035,0.0538680534644911,2.26711989477077,0.840359853701457
"non_monotone",2714,2000,7.62863243796082,8.1998774682457,0.57124503028488,0.00311265224323565,8.71253261013838,1.06959713114428,-4.05434712362775,0.0523924011882736,4.65818548651063,1.06054026129208
"non_monotone",4192,2000,7.62739422419881,8.19109359588322,0.563699371684415,0.00252730154336375,11.2638371858727,1.30961426289048,-4.15956173594925,0.0571843608162151,7.10427544992344,1.2989231867968
"non_monotone",6475,2000,7.62867150000953,8.18581716560443,0.557145665594895,0.00197228003206018,8.37820559340324,1.67614019787533,-4.26173573843967,0.0570912405983047,4.11646985496357,1.67079408329446
"non_monotone",10000,2000,7.62755448514979,8.18471713891657,0.557162653766782,0.00157330480009949,10.8813292138699,1.98173111180808,-4.07942019081467,0.0544594737555287,6.80190902305518,1.97556547841062
"monotone",200,2000,5.28650458052384,5.8355796052727,0.549075024748855,0.00872135613457676,6.05562332427391,0.276332209683658,-3.16946644755872,0.044191977761008,2.88615687671519,0.253650634642064
"monotone",309,2000,5.24445070688366,5.74652408089118,0.502073374007512,0.00690426517519794,5.86150336051049,0.324589601172841,-2.99335079629652,0.0364536719214166,2.86815256421397,0.308862437231749
"monotone",477,2000,5.26442953094352,5.74864179047375,0.484212259530234,0.00537881278009067,6.02638248306768,0.394127877603038,-2.99329737682491,0.0353118883642588,3.03308510624277,0.384241938178425
"monotone",737,2000,5.26856446760855,5.74165490845931,0.473090440850751,0.0044320883166405,5.66011406549569,0.474936788103737,-2.86953958775646,0.0330263110535935,2.79057447773923,0.465487034670048
"monotone",1138,2000,5.25252018531703,5.71190512737548,0.459384942058446,0.0034561257338432,5.46726659210162,0.592495549404831,-2.88645515912553,0.0307340894901252,2.58081143297609,0.58659286015918
"monotone",1758,2000,5.24647723627256,5.69437027456922,0.44789303829666,0.00280792359024641,6.11597356528257,0.730359426653523,-2.93909194790805,0.0327236028421599,3.17688161737452,0.72457858451065
"monotone",2714,2000,5.24855099987395,5.69169391930013,0.443142919426174,0.00222860765942409,5.21188117761839,0.908911099119338,-2.83722685442046,0.0316212658255615,2.37465432319793,0.903705457500292
"monotone",4192,2000,5.24393012724858,5.68891044061203,0.444980313363446,0.00179765893653658,5.23333003901775,1.12679853132557,-2.81388197639068,0.0307692862223114,2.41944806262707,1.12358942180158
"monotone",6475,2000,5.24970013328454,5.69120383824332,0.44150370495878,0.00146611318794407,6.71832098711717,1.37598348943308,-2.78812910766311,0.0305906534331726,3.93019187945405,1.37204103777926
"monotone",10000,2000,5.24930656250013,5.69275148106897,0.44344491856884,0.0011668564258291,7.19883530245146,1.75426593708222,-2.9021288245337,0.0307188444187725,4.29670647791776,1.7518621751573
